5 Minutes,Lane 1 Speed (mph),Speed (mph),# Lane Points,% Observed
1/1/2024 0:00,76.50,70.40,5,100.00
1/1/2024 0:05,76.60,70.90,5,100.00
1/1/2024 0:10,76.50,70.40,5,100.00
1/1/2024 0:15,76.60,70.50,5,100.00
1/1/2024 0:20,76.50,69.50,5,100.00
1/1/2024 0:25,76.40,70.40,5,100.00
1/1/2024 0:30,76.40,69.80,5,100.00
1/1/2024 0:35,76.40,70.40,5,100.00
1/1/2024 0:40,76.40,69.80,5,100.00
1/1/2024 0:45,76.30,69.40,5,100.00
1/1/2024 0:50,76.40,70.00,5,100.00
1/1/2024 0:55,76.50,69.80,5,100.00
1/1/2024 1:00,76.60,69.20,5,100.00
1/1/2024 1:05,76.50,70.20,5,100.00
1/1/2024 1:10,76.60,71.20,5,100.00
1/1/2024 1:15,76.50,70.70,5,100.00
1/1/2024 1:20,76.50,71.10,5,100.00
1/1/2024 1:25,76.50,70.70,5,100.00
1/1/2024 1:30,76.40,70.00,5,100.00
1/1/2024 1:35,76.50,70.90,5,100.00
1/1/2024 1:40,76.50,70.50,5,100.00
1/1/2024 1:45,76.50,70.80,5,100.00
1/1/2024 1:50,76.30,69.70,5,100.00
1/1/2024 1:55,76.50,70.40,5,100.00
1/1/2024 2:00,76.40,71.30,5,100.00
1/1/2024 2:05,76.50,72.30,5,100.00
1/1/2024 2:10,76.50,71.70,5,100.00
1/1/2024 2:15,76.00,71.80,5,100.00
1/1/2024 2:20,76.40,71.60,5,100.00
1/1/2024 2:25,76.40,71.80,5,100.00
1/1/2024 2:30,76.50,71.90,5,100.00
1/1/2024 2:35,76.40,71.50,5,100.00
1/1/2024 2:40,76.40,71.50,5,100.00
1/1/2024 2:45,76.40,70.40,5,100.00
1/1/2024 2:50,76.40,70.90,5,100.00
1/1/2024 2:55,76.40,70.80,5,100.00
1/1/2024 3:00,76.40,70.80,5,100.00
1/1/2024 3:05,76.40,70.90,5,100.00
1/1/2024 3:10,76.30,70.60,5,100.00
1/1/2024 3:15,76.50,71.70,5,100.00
1/1/2024 3:20,76.60,72.50,5,100.00
1/1/2024 3:25,76.60,72.80,5,100.00
1/1/2024 3:30,76.50,71.80,5,100.00
1/1/2024 3:35,76.40,71.70,5,100.00
1/1/2024 3:40,76.30,71.00,5,100.00
1/1/2024 3:45,76.50,71.80,5,100.00
1/1/2024 3:50,76.50,71.80,5,100.00
1/1/2024 3:55,76.50,71.70,5,100.00
1/1/2024 4:00,76.40,70.70,5,100.00
1/1/2024 4:05,76.40,71.50,5,100.00
1/1/2024 4:10,76.40,71.00,5,100.00
1/1/2024 4:15,76.30,69.90,5,100.00
1/1/2024 4:20,76.40,70.80,5,100.00
1/1/2024 4:25,76.40,70.40,5,100.00
1/1/2024 4:30,76.40,70.50,5,100.00
1/1/2024 4:35,76.40,70.60,5,100.00
1/1/2024 4:40,76.40,71.00,5,100.00
1/1/2024 4:45,76.30,70.90,5,100.00
1/1/2024 4:50,76.40,69.80,5,100.00
1/1/2024 4:55,76.30,70.00,5,100.00
1/1/2024 5:00,76.30,72.40,5,100.00
1/1/2024 5:05,76.40,70.90,5,100.00
1/1/2024 5:10,76.30,70.70,5,100.00
1/1/2024 5:15,76.40,71.00,5,100.00
1/1/2024 5:20,76.40,70.90,5,100.00
1/1/2024 5:25,76.40,71.40,5,100.00
1/1/2024 5:30,76.40,70.90,5,100.00
1/1/2024 5:35,76.40,69.80,5,100.00
1/1/2024 5:40,76.40,70.40,5,100.00
1/1/2024 5:45,76.40,69.70,5,100.00
1/1/2024 5:50,76.40,70.30,5,100.00
1/1/2024 5:55,76.50,70.50,5,100.00
1/1/2024 6:00,76.50,71.10,5,100.00
1/1/2024 6:05,76.50,70.70,5,100.00
1/1/2024 6:10,76.40,71.00,5,100.00
1/1/2024 6:15,76.40,69.90,5,100.00
1/1/2024 6:20,76.40,69.90,5,100.00
1/1/2024 6:25,76.40,71.10,5,100.00
1/1/2024 6:30,76.10,70.90,5,100.00
1/1/2024 6:35,76.20,69.70,5,100.00
1/1/2024 6:40,76.30,70.90,5,100.00
