5 Minutes,Lane 1 Speed (mph),Speed (mph),# Lane Points,% Observed
1/1/2024 0:00,76.50,70.90,5,100.00
1/1/2024 0:05,76.40,69.90,5,100.00
1/1/2024 0:10,76.50,69.20,5,100.00
1/1/2024 0:15,76.70,70.20,5,100.00
1/1/2024 0:20,76.10,69.10,5,100.00
1/1/2024 0:25,75.40,68.80,5,100.00
1/1/2024 0:30,75.70,69.00,5,100.00
1/1/2024 0:35,76.20,67.90,5,100.00
1/1/2024 0:40,75.40,69.10,5,100.00
1/1/2024 0:45,75.50,67.50,5,100.00
1/1/2024 0:50,74.40,68.90,5,100.00
1/1/2024 0:55,74.90,68.30,5,100.00
1/1/2024 1:00,75.50,69.40,5,100.00
1/1/2024 1:05,75.90,69.40,5,100.00
1/1/2024 1:10,75.10,70.10,5,100.00
1/1/2024 1:15,75.40,70.00,5,100.00
1/1/2024 1:20,75.40,71.20,5,100.00
1/1/2024 1:25,75.60,70.60,5,100.00
1/1/2024 1:30,75.80,70.40,5,100.00
1/1/2024 1:35,75.50,69.90,5,100.00
1/1/2024 1:40,75.20,70.60,5,100.00
1/1/2024 1:45,75.70,70.70,5,100.00
1/1/2024 1:50,76.30,70.60,5,100.00
1/1/2024 1:55,76.10,69.80,5,100.00
1/1/2024 2:00,75.60,70.10,5,100.00
1/1/2024 2:05,75.90,70.50,5,100.00
1/1/2024 2:10,76.30,71.80,5,100.00
1/1/2024 2:15,75.90,71.00,5,100.00
1/1/2024 2:20,76.30,69.80,5,100.00
1/1/2024 2:25,76.60,71.10,5,100.00
1/1/2024 2:30,76.30,70.80,5,100.00
1/1/2024 2:35,76.00,71.20,5,100.00
1/1/2024 2:40,76.30,70.90,5,100.00
1/1/2024 2:45,76.40,70.20,5,100.00
1/1/2024 2:50,76.40,71.30,5,100.00
1/1/2024 2:55,76.40,71.60,5,100.00
1/1/2024 3:00,76.50,71.10,5,100.00
1/1/2024 3:05,76.50,70.80,5,100.00
1/1/2024 3:10,76.30,69.60,5,100.00
1/1/2024 3:15,76.30,70.20,5,100.00
1/1/2024 3:20,76.20,70.50,5,100.00
1/1/2024 3:25,76.10,70.70,5,100.00
1/1/2024 3:30,76.00,70.00,5,100.00
1/1/2024 3:35,75.70,71.00,5,100.00
1/1/2024 3:40,76.00,70.80,5,100.00
1/1/2024 3:45,76.40,71.00,5,100.00
1/1/2024 3:50,76.20,70.70,5,100.00
1/1/2024 3:55,76.20,70.40,5,100.00
1/1/2024 4:00,76.20,70.90,5,100.00
1/1/2024 4:05,76.40,70.50,5,100.00
1/1/2024 4:10,76.20,71.00,5,100.00
1/1/2024 4:15,76.10,70.90,5,100.00
1/1/2024 4:20,76.30,70.80,5,100.00
1/1/2024 4:25,76.10,70.70,5,100.00
1/1/2024 4:30,76.10,70.90,5,100.00
1/1/2024 4:35,76.30,69.80,5,100.00
1/1/2024 4:40,76.20,70.90,5,100.00
1/1/2024 4:45,76.30,70.40,5,100.00
1/1/2024 4:50,76.30,69.50,5,100.00
1/1/2024 4:55,76.40,70.30,5,100.00
1/1/2024 5:00,76.30,69.80,5,100.00
1/1/2024 5:05,76.40,70.10,5,100.00
1/1/2024 5:10,76.40,69.20,5,100.00
1/1/2024 5:15,76.30,68.40,5,100.00
1/1/2024 5:20,76.30,70.80,5,100.00
1/1/2024 5:25,76.40,69.60,5,100.00
1/1/2024 5:30,76.30,69.20,5,100.00
1/1/2024 5:35,76.40,69.30,5,100.00
1/1/2024 5:40,76.50,69.40,5,100.00
1/1/2024 5:45,76.40,69.90,5,100.00
1/1/2024 5:50,76.40,68.90,5,100.00
1/1/2024 5:55,76.30,69.40,5,100.00
1/1/2024 6:00,76.50,69.20,5,100.00
1/1/2024 6:05,76.40,70.10,5,100.00
1/1/2024 6:10,76.30,69.10,5,100.00
1/1/2024 6:15,76.30,69.90,5,100.00
1/1/2024 6:20,76.20,70.20,5,100.00
1/1/2024 6:25,76.50,70.00,5,100.00
1/1/2024 6:30,76.50,69.60,5,100.00
1/1/2024 6:35,76.60,70.70,5,100.00
1/1/2024 6:40,76.50,71.20,5,100.00
1/1/2024 6:45,76.60,70.80,5,100.00
1/1/2024 6:50,76.30,70.90,5,100.00
1/1/2024 6:55,76.30,70.70,5,100.00
1/1/2024 7:00,76.30,69.60,5,100.00
1/1/2024 7:05,76.30,71.00,5,100.00
1/1/2024 7:10,76.30,70.10,5,100.00
1/1/2024 7:15,76.40,70.50,5,100.00
1/1/2024 7:20,76.50,69.70,5,100.00
1/1/2024 7:25,76.40,71.40,5,100.00
1/1/2024 7:30,76.40,69.90,5,100.00
1/1/2024 7:35,76.40,70.60,5,100.00
1/1/2024 7:40,76.70,70.50,5,100.00
1/1/2024 7:45,76.30,70.20,5,100.00
1/1/2024 7:50,76.50,70.70,5,100.00
1/1/2024 7:55,76.40,70.60,5,100.00
1/1/2024 8:00,76.50,70.70,5,100.00
1/1/2024 8:05,76.40,70.70,5,100.00
1/1/2024 8:10,76.50,69.40,5,100.00
1/1/2024 8:15,76.50,70.40,5,100.00
1/1/2024 8:20,76.20,69.80,5,100.00
1/1/2024 8:25,76.30,69.40,5,100.00
1/1/2024 8:30,76.40,69.50,5,100.00
1/1/2024 8:35,76.70,70.10,5,100.00
1/1/2024 8:40,76.50,68.90,5,100.00
1/1/2024 8:45,76.60,68.90,5,100.00
1/1/2024 8:50,76.60,70.20,5,100.00
1/1/2024 8:55,76.40,70.60,5,100.00
